weibo_id,original_text,user_id,created_at,retweet_count,comment_count,like_count,user_authentication,original_link,decoded_link,is_paper,confidence,source,doi,matched_pattern
64,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/SA.2021.105081,https://doi.org/10.12677/SA.2021.105081,True,high,DOI,10.12677/SA.2021.105081,DOI
65,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AEP.2021.115109,https://doi.org/10.12677/AEP.2021.115109,True,high,DOI,10.12677/AEP.2021.115109,DOI
66,,5976873363.0,,0,0,0,普通用户,https://doi.org/10.1080/08912963.2020.1782395,https://doi.org/10.1080/08912963.2020.1782395,True,high,DOI,10.1080/08912963.2020.1782395,DOI
67,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1016/j.apmt.2021.101236,https://doi.org/10.1016/j.apmt.2021.101236,True,high,DOI,10.1016/j.apmt.2021.101236,DOI
68,,2092965653.0,,0,0,0,蓝V,https://doi.org/10.1177/0042098020962418,https://doi.org/10.1177/0042098020962418,True,high,DOI,10.1177/0042098020962418,DOI
69,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2021.1011408,https://doi.org/10.12677/AAM.2021.1011408,True,high,DOI,10.12677/AAM.2021.1011408,DOI
70,,2427364747.0,,0,0,0,蓝V,https://doi.org/10.1016/j.apmt.2021.101236,https://doi.org/10.1016/j.apmt.2021.101236,True,high,DOI,10.1016/j.apmt.2021.101236,DOI
71,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/SD.2021.116100,https://doi.org/10.12677/SD.2021.116100,True,high,DOI,10.12677/SD.2021.116100,DOI
72,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1016/j.apmt.2021.101236,https://doi.org/10.1016/j.apmt.2021.101236,True,high,DOI,10.1016/j.apmt.2021.101236,DOI
73,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1080/08912963.2020.1782395,https://doi.org/10.1080/08912963.2020.1782395,True,high,DOI,10.1080/08912963.2020.1782395,DOI
74,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AG.2021.1111136,https://doi.org/10.12677/AG.2021.1111136,True,high,DOI,10.12677/AG.2021.1111136,DOI
75,,2653149452.0,,0,0,0,普通用户,https://doi.org/10.1093/rfs/hhab085,https://doi.org/10.1093/rfs/hhab085,True,high,DOI,10.1093/rfs/hhab085,DOI
76,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2021.1011380,https://doi.org/10.12677/AAM.2021.1011380,True,high,DOI,10.12677/AAM.2021.1011380,DOI
77,,1729014640.0,,0,0,0,蓝V,https://www.nature.com/articles/s41467-017-00336-7,https://www.nature.com/articles/s41467-017-00336-7,True,high,Nature,,Nature
78,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2021.1012440,https://doi.org/10.12677/AAM.2021.1012440,True,high,DOI,10.12677/AAM.2021.1012440,DOI
79,,2130067184.0,,0,0,0,蓝V,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.127.251301,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.127.251301,True,high,DOI,10.1103/PhysRevLett.127.251301,DOI
80,,2794083144.0,,0,0,0,蓝V,https://academic.oup.com/nar/advance-article-abstract/doi/10.1093/nar/gkab1201/6459086,https://academic.oup.com/nar/advance-article-abstract/doi/10.1093/nar/gkab1201/6459086,True,high,DOI,10.1093/nar/gkab1201/6459086,DOI
81,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/ME.2022.101009,https://doi.org/10.12677/ME.2022.101009,True,high,DOI,10.12677/ME.2022.101009,DOI
82,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/GST.2022.101002,https://doi.org/10.12677/GST.2022.101002,True,high,DOI,10.12677/GST.2022.101002,DOI
83,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/MOS.2022.111018,https://doi.org/10.12677/MOS.2022.111018,True,high,DOI,10.12677/MOS.2022.111018,DOI
84,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1038/s41467-022-27965-x,https://doi.org/10.1038/s41467-022-27965-x,True,high,DOI,10.1038/s41467-022-27965-x,DOI
85,,2427364747.0,,0,0,0,蓝V,https://doi.org/10.1038/s41467-022-27965-x,https://doi.org/10.1038/s41467-022-27965-x,True,high,DOI,10.1038/s41467-022-27965-x,DOI
86,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1038/s41467-022-27965-x,https://doi.org/10.1038/s41467-022-27965-x,True,high,DOI,10.1038/s41467-022-27965-x,DOI
87,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2022.111006,https://doi.org/10.12677/AAM.2022.111006,True,high,DOI,10.12677/AAM.2022.111006,DOI
88,,2427364747.0,,0,0,0,蓝V,https://doi.org/10.1073/pnas.2109912118,https://doi.org/10.1073/pnas.2109912118,True,high,DOI,10.1073/pnas.2109912118,DOI
89,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/SA.2022.111002,https://doi.org/10.12677/SA.2022.111002,True,high,DOI,10.12677/SA.2022.111002,DOI
90,,1729014640.0,,0,0,0,蓝V,https://www.nature.com/articles/s41586-021-04159-x,https://www.nature.com/articles/s41586-021-04159-x,True,high,Nature,,Nature
90,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1038/s41586-021-03878-5,https://doi.org/10.1038/s41586-021-03878-5,True,high,DOI,10.1038/s41586-021-03878-5,DOI
90,,1729014640.0,,0,0,0,蓝V,https://doi.org/10.1007/s11433-021-1757-5,https://doi.org/10.1007/s11433-021-1757-5,True,high,DOI,10.1007/s11433-021-1757-5,DOI
91,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2022.112078,https://doi.org/10.12677/AAM.2022.112078,True,high,DOI,10.12677/AAM.2022.112078,DOI
92,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/ASS.2022.112087,https://doi.org/10.12677/ASS.2022.112087,True,high,DOI,10.12677/ASS.2022.112087,DOI
93,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/AAM.2022.112086,https://doi.org/10.12677/AAM.2022.112086,True,high,DOI,10.12677/AAM.2022.112086,DOI
94,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/GSER.2022.111006,https://doi.org/10.12677/GSER.2022.111006,True,high,DOI,10.12677/GSER.2022.111006,DOI
95,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/CSA.2022.123067,https://doi.org/10.12677/CSA.2022.123067,True,high,DOI,10.12677/CSA.2022.123067,DOI
96,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/IJM.2022.111003,https://doi.org/10.12677/IJM.2022.111003,True,high,DOI,10.12677/IJM.2022.111003,DOI
97,,2427364747.0,,0,0,0,蓝V,https://doi.org/10.1073/pnas.2100151119,https://doi.org/10.1073/pnas.2100151119,True,high,DOI,10.1073/pnas.2100151119,DOI
98,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/OJTT.2022.112007,https://doi.org/10.12677/OJTT.2022.112007,True,high,DOI,10.12677/OJTT.2022.112007,DOI
99,,3941337445.0,,0,0,0,普通用户,https://doi.org/10.12677/MSE.2022.111004,https://doi.org/10.12677/MSE.2022.111004,True,high,DOI,10.12677/MSE.2022.111004,DOI
