weibo_id,any_paper,max_confidence,total_links,user_id,user_authentication,retweet_count,comment_count,like_count
352,True,high,2,3710258141.0,金V,0,0,0
353,True,high,1,7523186814.0,蓝V,0,0,0
354,True,high,1,7523186814.0,蓝V,0,0,0
355,True,high,1,3941337445.0,普通用户,0,0,0
356,True,high,1,3941337445.0,普通用户,0,0,0
357,True,high,1,3941337445.0,普通用户,0,0,0
358,True,high,1,3941337445.0,普通用户,0,0,0
359,True,high,1,2794083144.0,蓝V,0,0,0
360,True,high,1,3941337445.0,普通用户,0,0,0
361,True,high,1,3941337445.0,普通用户,0,0,0
362,True,high,1,3941337445.0,普通用户,0,0,0
363,True,high,1,3941337445.0,普通用户,0,0,0
364,True,high,1,3941337445.0,普通用户,0,0,0
365,True,high,1,1402400261.0,金V,0,0,0
366,True,high,1,3941337445.0,普通用户,0,0,0
367,True,high,1,1924502695.0,蓝V,0,0,0
368,True,high,1,3941337445.0,普通用户,0,0,0
369,True,high,1,1870858943.0,蓝V,0,0,0
370,True,high,1,3941337445.0,普通用户,0,0,0
371,True,high,1,3941337445.0,普通用户,0,0,0
372,True,high,2,1286528122.0,蓝V,0,0,0
373,True,high,1,3941337445.0,普通用户,0,0,0
374,True,high,1,3941337445.0,普通用户,0,0,0
375,True,high,1,3941337445.0,普通用户,0,0,0
376,True,high,2,2008779105.0,蓝V,0,0,0
377,True,high,1,3941337445.0,普通用户,0,0,0
378,True,high,1,1699526244.0,普通用户,0,0,0
379,True,high,1,6890507718.0,蓝V,0,0,0
380,True,high,1,3941337445.0,普通用户,0,0,0
381,True,high,1,6890507718.0,蓝V,0,0,0
382,True,high,1,1286528122.0,蓝V,0,0,0
383,True,high,1,3941337445.0,普通用户,0,0,0
384,True,high,2,1618819632.0,金V,0,0,0
385,True,high,1,1870858943.0,蓝V,0,0,0
386,True,high,1,3941337445.0,普通用户,0,0,0
387,True,high,1,3941337445.0,普通用户,0,0,0
388,True,high,1,3941337445.0,普通用户,0,0,0
389,True,high,1,3941337445.0,普通用户,0,0,0
390,True,high,1,1870858943.0,蓝V,0,0,0
391,True,high,1,1870858943.0,蓝V,0,0,0
392,True,high,1,3941337445.0,普通用户,0,0,0
