altmetric_id,any_paper,max_confidence,total_links
1802163,True,high,1
2354204,True,high,12
2952802,True,high,6
3058230,True,high,16
3050244,True,high,5
583429,True,high,29
2327646,True,high,33
2645315,True,high,4
3005849,True,medium,3
4233446,True,high,3
1877265,True,high,3
3312532,True,high,4
2725782,True,medium,1
2959205,True,high,5
2901795,True,high,3
2471214,True,high,56
2813094,True,high,19
3012338,True,medium,2
2464635,True,high,13
101641220,True,high,10
2483470,True,high,8
2636758,True,high,9
2845686,True,high,3
2576593,True,high,11
1426298,True,high,16
3006565,True,high,2
3026998,True,high,1
2541679,True,high,1
2871412,True,high,12
2773858,True,high,3
2950368,True,high,14
2992659,True,high,10
2287678,True,high,20
101768226,True,high,21
2799987,True,high,3
3008187,True,high,11
4213452,True,high,10
2433863,True,high,28
2693877,True,high,9
1920580,True,high,545
2209151,True,high,11
3818086,True,high,12
2298802,True,high,4
3443730,True,high,6
3700090,True,medium,1
2921125,True,high,1
2933082,True,high,5
2538792,True,high,2
2667145,True,medium,1
2505156,True,high,2
3783081,True,medium,1
2441071,True,high,62
2867825,True,medium,1
2886400,True,high,3
2431026,True,high,6
2283954,True,high,2
2606621,True,high,12
2803338,True,high,12
2677514,True,high,6
3099585,True,high,9
2090051,True,high,7
2921180,True,medium,1
2292472,True,high,6
4165203,True,high,8
2768006,True,medium,2
2504170,True,high,4
2354690,True,high,2
2904909,True,high,5
2725920,False,none,2
2371976,True,high,24
2994825,True,high,7
2633647,True,high,4
3767551,True,medium,1
2442795,True,high,16
3061760,True,high,16
4154514,True,medium,1
890977,True,high,49
2921513,True,high,3
3050053,True,high,2
1920865,True,high,5
3840725,True,high,1
2299726,True,high,12
2635102,True,high,11
3007565,True,high,13
22898259,True,high,12
2499788,True,high,13
217419,True,high,4
2940268,True,high,9
3809991,True,high,10
2992486,True,high,12
3567052,True,high,44
3739070,True,high,3
3762795,True,high,9
2894473,True,medium,1
2645471,True,high,40
2363989,True,high,38
2714957,True,high,20
3323178,True,high,19
2689384,True,high,1
2903229,True,high,14
101641058,True,high,28
2126026,True,high,13
3716453,True,high,10
2377674,True,high,1
2762631,True,high,4
2708516,True,high,17
2363806,False,none,1
2706496,True,high,4
3791155,True,high,2
2329112,True,high,5
4082110,True,high,46
2327932,True,high,7
102475813,True,high,10
3754777,True,high,36
2683192,True,high,5
2993684,True,high,10
2666668,True,high,4
3973711,True,high,3
623351,True,high,81
2806813,True,high,7
4259443,True,high,35
2925580,True,high,3
3745710,True,high,5
2348034,True,high,17
2303234,True,high,17
2693888,True,medium,2
2496542,True,high,15
2884290,True,high,5
3034901,True,high,7
3815635,True,high,5
1521329,True,high,10
2262227,True,high,18
3880866,True,high,62
3015189,True,medium,1
2712663,True,high,1
2467247,True,high,35
2330694,True,high,14
2667155,True,medium,1
2302029,True,high,6
2987659,True,high,1
2779931,True,high,2
1964563,True,high,12
3046474,True,high,4
4187737,True,high,1
1230821,True,high,6
787988,True,high,15
2668667,True,high,5
2001533,True,high,15
755024,True,high,21
1557815,True,high,3
2753367,True,high,6
3308382,True,high,9
2994354,True,medium,1
2401074,True,high,2
2385614,True,high,5
2896950,True,high,26
2332163,True,high,6
397549,True,high,11
675224,True,high,31
2337719,True,high,7
101738140,True,high,34
3072576,False,none,2
2435107,True,high,3
3760685,True,high,3
2927526,True,high,16
2972044,True,high,23
2806781,True,high,35
1190976,True,high,18
3099126,True,high,68
2297360,True,high,11
2617641,True,high,5
2609376,True,high,87
2475018,True,high,6
4230100,True,high,6
1273269,True,high,16
2635626,True,high,48
2843293,True,high,11
3071236,True,high,4
2115173,True,high,6
2882708,True,medium,1
2823722,True,high,4
2294138,True,high,3
2108919,True,high,80
905174,True,high,4
2949893,True,high,5
3085592,True,high,1
3781582,True,high,15
2303414,True,high,19
2894914,True,high,2
2633505,True,high,2
1863686,True,high,14
2683086,True,high,8
2559144,True,high,20
1907133,True,high,5
2489517,True,high,15
2296734,True,low,1
3758653,True,high,31
2857872,True,high,5
3007611,True,high,9
2430976,True,high,10
2474188,True,high,8
2441693,True,high,4
2795484,True,high,8
4226902,True,high,2
1153095,True,high,26
3080832,True,high,2
1800645,True,high,11
2031570,True,high,13
2803238,True,high,7
2857456,True,high,34
2002924,True,high,16
938901,True,high,6
868187,True,high,5
2944301,True,high,3
560668,True,high,6
2936215,True,high,3
3061639,True,high,1
2573405,True,high,19
2676171,True,high,11
3758245,True,high,3
3744328,True,high,2
2831043,True,high,53
1952801,True,high,10
1696059,True,high,11
2717176,True,medium,1
2677437,True,high,4
3001381,True,high,4
3717111,True,high,6
2758745,True,high,5
3065381,True,high,7
889455,True,high,6
3834173,True,high,4
3821555,True,medium,1
1630080,True,high,7
2442503,True,high,121
2803548,True,high,8
3770368,True,high,7
3103033,True,high,6
2798014,True,high,15
3797210,True,medium,1
2920212,True,high,13
2035078,True,high,41
2972043,True,high,14
3769291,True,high,14
2464425,True,high,9
3030081,True,high,10
3030873,True,high,24
2687470,True,high,3
1311317,True,medium,1
244902,True,high,25
2683058,True,high,10
2680347,True,high,27
3804523,True,high,10
2740928,True,medium,1
4033431,True,high,2
2358943,True,high,9
2311235,True,high,7
2677762,True,medium,1
1514043,True,high,6
3759091,True,high,39
2329822,True,high,4
602546,True,high,5
3081840,True,high,1
2508056,True,high,7
2888222,True,high,12
1377592,True,high,12
3715196,True,high,6
2230520,True,high,12
